male,AGES,BOARD TOPPER,DASA,CGPA - 1,CGPA - 2,DVM,Gaming Club,Mountaineering,None,ICSE,Other,DAYS SINCE LAST SHOWER,TREATS GIVEN,HAS A S/O ?,ATTENDS LECTURES,LITE,PIZZERIA EXPENDITURE (annual),GRAMS / MONTH,GPL
0.0,0.25,0.0,0.0,0.43000007,0.42857146,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,1.0,0.26852572,0.01843318,1.0
0.0,0.625,0.0,0.0,0.8714286,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.9333334,1.0,1.0,0.0,1.0,0.90171427,0.3548387,0.0
0.0,0.375,1.0,0.0,0.47000003,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,0.25,0.0,0.0,1.0,0.7525485,0.6774193,0.0
1.0,0.0,0.0,0.0,0.7742858,0.8571429,0.0,0.0,0.0,1.0,1.0,0.0,0.40000004,0.75,0.0,0.0,1.0,0.53183997,0.48387095,0.0
0.0,0.0,1.0,0.0,0.5385714,0.71428573,0.0,0.0,0.0,1.0,1.0,0.0,0.13333334,0.75,0.0,1.0,0.0,0.35954285,0.023041476,1.0
0.0,0.25,0.0,0.0,0.33571428,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.20000002,0.75,0.0,0.0,0.0,0.18912001,0.027649768,1.0
1.0,0.0,0.0,0.0,0.39,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.52658284,0.6958525,0.0
1.0,0.0,0.0,0.0,0.38285714,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.99332565,0.8894009,0.0
0.0,0.0,0.0,0.0,0.18142855,0.42857146,0.0,0.0,0.0,1.0,0.0,1.0,0.86666673,0.0,1.0,0.0,0.0,0.08937143,0.023041476,1.0
1.0,0.0,0.0,0.0,0.4928571,0.57142854,1.0,0.0,0.0,0.0,1.0,0.0,0.73333335,0.75,0.0,0.0,1.0,0.6843428,0.12442396,0.0
0.0,0.25,0.0,0.0,0.5128572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.25,0.0,0.0,1.0,0.90591997,0.86175114,0.0
1.0,0.125,0.0,0.0,0.62,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9333334,0.75,1.0,1.0,1.0,0.60955423,0.23502304,0.0
1.0,0.25,0.0,0.0,0.6557143,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,1.0,0.0,0.0,1.0,0.54495996,0.11520737,0.0
0.0,0.75,0.0,1.0,0.3971429,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4666667,0.25,0.0,0.0,0.0,0.17787428,0.009216589,1.0
0.0,0.375,1.0,0.0,0.4557143,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.28205714,0.023041476,1.0
1.0,0.875,0.0,1.0,0.53571427,0.42857146,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.73526853,0.76958525,0.0
1.0,0.0,0.0,1.0,0.6185714,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.26666668,0.5,0.0,0.0,0.0,0.19606857,0.032258064,1.0
0.0,0.25,1.0,0.0,0.0,0.28571427,0.0,0.0,0.0,1.0,0.0,0.0,0.9333334,1.0,0.0,0.0,0.0,0.35510856,0.004608295,1.0
1.0,0.375,0.0,0.0,0.11571425,0.14285713,0.0,0.0,0.0,1.0,1.0,0.0,0.20000002,0.75,1.0,0.0,1.0,0.8423314,0.953917,0.0
0.0,0.125,1.0,0.0,0.61,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,1.0,1.0,1.0,0.0,0.21942857,0.032258064,1.0
1.0,0.25,0.0,0.0,0.47428572,0.8571429,0.0,0.0,0.0,1.0,1.0,0.0,0.06666667,0.25,1.0,0.0,1.0,0.57952,0.65898615,0.0
1.0,0.625,0.0,1.0,0.38857138,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.06666667,1.0,0.0,0.0,1.0,0.63776,0.6866359,0.0
1.0,0.0,0.0,0.0,0.52,0.71428573,0.0,0.0,1.0,0.0,0.0,0.0,0.73333335,1.0,1.0,1.0,1.0,0.63547426,0.56682026,0.0
1.0,0.0,0.0,1.0,0.22285712,0.28571427,0.0,0.0,0.0,1.0,1.0,0.0,0.20000002,1.0,1.0,0.0,1.0,0.5556571,0.56682026,0.0
1.0,0.0,0.0,0.0,0.70000005,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.17883429,0.009216589,1.0
0.0,0.375,1.0,0.0,0.037142843,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.06666667,1.0,0.0,0.0,0.0,0.2781257,0.013824885,1.0
1.0,0.25,0.0,0.0,0.95428574,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.9333334,0.75,1.0,0.0,1.0,0.86866283,0.5760369,0.0
0.0,0.25,0.0,0.0,0.7128571,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.14139429,0.013824885,1.0
1.0,0.375,0.0,0.0,0.78571427,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9333334,1.0,0.0,0.0,1.0,0.8157714,0.9354839,0.0
1.0,0.5,1.0,0.0,0.36,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.40000004,0.0,0.0,0.0,1.0,0.66742855,0.7603686,0.0
1.0,0.25,1.0,0.0,0.08142853,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.26666668,0.5,0.0,0.0,1.0,0.90335995,0.80645156,0.0
1.0,0.375,0.0,0.0,0.14428574,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.33333334,0.25,0.0,0.0,1.0,0.87035424,0.59447,0.0
1.0,0.5,0.0,0.0,0.67285717,0.14285713,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.75,0.0,0.0,0.0,0.20521143,0.013824885,1.0
1.0,0.375,0.0,0.0,0.5014286,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,1.0,0.0,0.0,1.0,0.7991771,0.40092164,0.0
1.0,0.0,0.0,0.0,0.6428572,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.57522285,0.5391705,0.0
1.0,0.0,0.0,0.0,0.77714276,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.53333336,0.25,1.0,0.0,1.0,0.88004565,0.59447,0.0
1.0,0.0,1.0,0.0,0.45714283,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.04475428,0.032258064,1.0
0.0,0.375,0.0,0.0,0.030000001,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,1.0,1.0,0.0,1.0,0.28242287,0.027649768,1.0
1.0,0.25,0.0,0.0,0.32,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,0.75,0.0,0.0,1.0,0.72790855,0.52073735,0.0
1.0,0.375,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26666668,0.0,0.0,0.0,0.0,0.15510857,0.009216589,1.0
0.0,0.0,0.0,0.0,0.29714286,0.42857146,0.0,0.0,0.0,1.0,0.0,1.0,0.13333334,0.75,0.0,0.0,1.0,0.22848,0.004608295,1.0
1.0,0.375,0.0,1.0,0.54142857,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,0.75,0.0,0.0,1.0,0.6171428,0.069124416,0.0
0.0,0.25,1.0,0.0,0.45428568,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26666668,0.25,0.0,0.0,0.0,0.25426286,0.023041476,1.0
0.0,0.5,0.0,0.0,0.17571425,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26666668,1.0,1.0,0.0,0.0,0.34962285,0.032258064,1.0
1.0,0.25,0.0,0.0,0.29857147,0.28571427,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,0.9543314,0.4193548,0.0
1.0,0.0,0.0,0.0,0.34285718,0.14285713,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,0.0,0.0,0.0,1.0,0.6391771,0.11520737,0.0
0.0,0.375,0.0,1.0,0.1242857,0.57142854,0.0,0.0,1.0,0.0,0.0,0.0,0.33333334,0.25,1.0,1.0,0.0,0.16448,0.027649768,1.0
1.0,0.375,0.0,0.0,0.30571425,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.40000004,1.0,0.0,0.0,1.0,0.75104,0.11520737,0.0
1.0,0.375,0.0,0.0,0.5071429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.86666673,0.0,1.0,0.0,1.0,0.78166854,0.13364056,0.0
1.0,0.25,0.0,0.0,0.5657143,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,0.5,0.0,0.0,1.0,0.89668566,0.90783405,0.0
1.0,0.625,0.0,1.0,0.5385714,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.25,1.0,0.0,1.0,0.64096,0.5391705,0.0
1.0,0.375,0.0,0.0,0.81714296,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.40000004,0.25,1.0,1.0,1.0,0.5214628,0.11520737,0.0
1.0,0.875,0.0,0.0,0.63,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,0.25,0.0,0.0,1.0,0.80054855,0.11520737,0.0
1.0,0.0,0.0,0.0,0.10571426,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.70386285,0.19815667,0.0
1.0,1.0,0.0,1.0,0.55714285,0.57142854,0.0,0.0,0.0,1.0,1.0,0.0,0.13333334,0.25,0.0,0.0,1.0,0.7873371,0.20737328,0.0
1.0,0.375,0.0,1.0,0.32714283,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.20000002,0.5,0.0,1.0,0.0,0.29394287,0.032258064,1.0
0.0,0.5,1.0,0.0,0.25857145,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.19456,0.023041476,1.0
1.0,0.5,1.0,0.0,0.30571425,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,1.0,0.0,0.0,1.0,0.5926857,0.7603686,0.0
0.0,0.375,0.0,0.0,0.76,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.79967993,0.15207373,0.0
1.0,0.0,0.0,0.0,0.45428568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333334,0.0,0.0,0.0,1.0,0.49951997,0.953917,0.0
1.0,0.25,0.0,1.0,0.6242857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26666668,0.25,1.0,1.0,1.0,0.8157257,0.8801843,0.0
1.0,0.5,0.0,0.0,0.0,0.28571427,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,0.5,0.0,0.0,1.0,0.52466285,0.041474655,0.0
1.0,0.5,0.0,0.0,0.44285715,0.42857146,1.0,0.0,0.0,0.0,0.0,0.0,0.9333334,0.5,1.0,0.0,1.0,0.8237714,0.9907834,0.0
1.0,0.375,0.0,0.0,0.8428571,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,0.5,0.0,0.0,1.0,0.6465371,0.29032257,0.0
0.0,0.25,0.0,0.0,0.5371429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,0.25,1.0,0.0,0.0,0.23657143,0.027649768,1.0
1.0,0.0,0.0,0.0,0.5585714,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,0.75,1.0,0.0,1.0,0.15062858,0.027649768,1.0
1.0,0.5,0.0,0.0,0.79857147,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26666668,0.75,0.0,0.0,0.0,0.8032914,0.050691243,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.20000002,0.25,0.0,0.0,1.0,0.25746286,0.023041476,1.0
1.0,0.625,0.0,1.0,0.3157143,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,1.0,0.0,0.0,1.0,0.60831994,0.5852534,0.0
0.0,0.25,0.0,0.0,0.31857145,0.42857146,0.0,0.0,0.0,1.0,1.0,0.0,0.6,0.5,1.0,0.0,1.0,0.7300571,0.80645156,0.0
1.0,0.25,0.0,0.0,0.51714283,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,0.5,1.0,0.0,1.0,0.5777371,0.90783405,0.0
0.0,0.25,0.0,0.0,0.70714283,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,0.75,0.0,0.0,1.0,0.82207996,0.07834101,0.0
0.0,0.25,0.0,0.0,0.38,0.14285713,0.0,0.0,0.0,1.0,1.0,0.0,0.13333334,0.0,0.0,0.0,1.0,0.8323657,0.5115207,0.0
1.0,0.25,0.0,0.0,0.80571437,0.14285713,0.0,0.0,0.0,1.0,0.0,0.0,0.06666667,0.0,1.0,0.0,1.0,0.49631998,0.90783405,0.0
1.0,1.0,0.0,0.0,0.70571434,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.26666668,0.5,0.0,0.0,1.0,0.5187657,0.9907834,0.0
1.0,0.375,1.0,0.0,0.45428568,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,0.25,0.0,0.0,1.0,0.6154514,0.87096775,0.0
1.0,0.375,0.0,1.0,0.93857145,0.57142854,0.0,0.0,0.0,1.0,1.0,0.0,0.20000002,1.0,0.0,1.0,0.0,0.55190855,0.5299539,0.0
0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33333334,0.0,1.0,1.0,1.0,0.8404571,0.14285715,0.0
1.0,0.25,1.0,0.0,0.24142855,0.71428573,1.0,0.0,0.0,0.0,0.0,0.0,0.8000001,0.0,1.0,0.0,1.0,0.47369143,0.75115204,0.0
1.0,0.0,0.0,0.0,0.34857142,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,0.5,1.0,0.0,1.0,0.9471542,0.48387095,0.0
1.0,0.5,1.0,0.0,0.53000003,0.28571427,0.0,0.0,0.0,1.0,1.0,0.0,0.86666673,0.25,0.0,0.0,1.0,0.7032685,0.797235,0.0
0.0,0.5,1.0,0.0,0.3085714,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.73333335,0.5,0.0,0.0,0.0,0.10198857,0.0,1.0
1.0,0.75,0.0,1.0,0.14714289,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,1.0,0.0,1.0,1.0,0.87410283,0.3548387,0.0
1.0,0.125,0.0,0.0,0.18285716,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.081051424,0.032258064,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,1.0,0.0,1.0,0.7527314,0.23502304,0.0
1.0,0.375,0.0,0.0,0.6185714,0.14285713,0.0,0.0,0.0,1.0,0.0,0.0,0.40000004,0.75,0.0,0.0,0.0,0.3210057,0.01843318,1.0
0.0,0.0,0.0,0.0,0.92428577,0.57142854,0.0,0.0,0.0,1.0,1.0,0.0,0.20000002,1.0,0.0,1.0,1.0,0.29654858,0.009216589,1.0
1.0,0.625,0.0,0.0,0.3257143,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,1.0,0.0,0.0,1.0,0.8503771,0.5852534,0.0
1.0,0.5,0.0,0.0,0.5585714,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.06666667,0.75,1.0,0.0,1.0,0.7578057,0.16129032,0.0
1.0,0.25,0.0,0.0,0.54714286,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.7921371,0.90783405,0.0
0.0,0.625,0.0,0.0,0.21571434,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6097371,0.797235,0.0
0.0,0.375,1.0,0.0,0.34857142,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.14020571,0.013824885,1.0
1.0,0.375,1.0,0.0,0.69857144,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,1.0,0.0,0.0,0.0,0.7957028,0.9447004,0.0
1.0,0.375,1.0,0.0,0.4928571,0.28571427,0.0,0.0,0.0,1.0,1.0,0.0,0.4666667,0.25,1.0,0.0,1.0,0.60447997,0.7235023,0.0
0.0,0.25,0.0,1.0,0.29000002,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.27049142,0.009216589,1.0
1.0,0.5,0.0,1.0,0.6014286,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,0.75,0.0,0.0,1.0,0.5664,0.17050691,0.0
1.0,0.25,0.0,0.0,0.57428575,0.14285713,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,0.75,0.0,0.0,1.0,0.97014856,0.76958525,0.0
1.0,0.375,0.0,1.0,0.46285713,0.8571429,0.0,0.0,0.0,1.0,1.0,0.0,0.13333334,1.0,0.0,0.0,1.0,0.9002971,0.56682026,0.0
0.0,0.0,0.0,0.0,0.037142843,0.28571427,0.0,0.0,0.0,1.0,1.0,0.0,0.53333336,0.5,1.0,1.0,1.0,0.6661028,0.90783405,0.0
0.0,0.25,0.0,0.0,0.45285714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.53333336,0.25,0.0,0.0,0.0,0.20932572,0.032258064,1.0
0.0,0.375,0.0,0.0,0.45142853,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.9333334,1.0,0.0,0.0,0.0,0.3884343,0.032258064,1.0
1.0,0.25,0.0,0.0,0.47857141,0.57142854,0.0,0.0,0.0,1.0,0.0,1.0,0.13333334,0.75,0.0,0.0,1.0,0.5594057,0.61290324,0.0
1.0,0.25,1.0,0.0,0.7671429,0.28571427,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,0.5,0.0,0.0,1.0,0.608,0.24423963,0.0
1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,0.25,1.0,1.0,0.0,0.8775314,0.21658985,0.0
1.0,0.375,0.0,0.0,0.4342857,0.28571427,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,0.0,1.0,0.0,0.0,0.13325715,0.013824885,1.0
0.0,0.125,0.0,0.0,0.4914286,0.28571427,1.0,0.0,0.0,0.0,0.0,0.0,0.86666673,0.75,0.0,1.0,1.0,0.9722057,0.023041476,0.0
1.0,0.5,1.0,0.0,0.72142863,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,0.25,0.0,1.0,1.0,0.80704,0.40092164,0.0
1.0,0.625,1.0,0.0,0.4928571,0.28571427,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,0.0,0.0,0.0,1.0,0.5259428,0.87096775,0.0
1.0,0.75,1.0,0.0,0.060000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,0.25,0.0,0.0,0.0,0.5386514,0.39170507,0.0
0.0,0.25,0.0,1.0,0.36428577,0.28571427,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,0.0,1.0,0.0,1.0,0.12841143,0.032258064,1.0
1.0,0.75,0.0,0.0,0.43857145,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,1.0,0.0,0.0,1.0,0.60959995,0.59447,0.0
1.0,0.625,0.0,0.0,0.03571427,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06666667,1.0,0.0,1.0,1.0,0.9560228,0.9354839,0.0
1.0,0.0,0.0,0.0,0.94428575,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,0.25,0.0,0.0,1.0,0.5232914,0.041474655,0.0
1.0,0.75,0.0,1.0,0.35714287,0.14285713,0.0,0.0,0.0,1.0,1.0,0.0,0.4666667,0.5,0.0,1.0,1.0,0.64900565,0.6221198,0.0
0.0,0.25,0.0,0.0,0.22571427,0.57142854,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.18322286,0.013824885,1.0
